Acceleration,Method,ScanID,CoilNoiseIncrease,SSIM,PSNR,NRMSE,HFEN,VIF,NQM,SSFD,LPIPS (VGG-16),ResNet50 (RadImageNet)
2,UNet,1001159,1,0.7573568224906921,28.002910614013672,0.2439650148153305,0.4954094886779785,0.1319352541267555,13.103299346155836,6.566009521484375,0.1836523562669754,0.6030111312866211
2,UNet,1001159,2,0.7165205478668213,27.359655380249023,0.26442137360572815,0.5268531441688538,0.12038566799692446,12.382698861967313,7.665165901184082,0.19952338933944702,0.6980191469192505
2,UNet,1001159,3,0.6575487852096558,26.69642448425293,0.28424525260925293,0.5686540603637695,0.111923408445432,11.657205465707303,9.234926223754883,0.21630993485450745,0.8329369425773621
2,UNet,1001168,0,0.8459022045135498,30.76919174194336,0.08979519456624985,0.33013349771499634,0.15218867494331478,19.95090457812009,2.1398415565490723,0.15780912339687347,0.8252294659614563
2,UNet,1001168,1,0.8172966837882996,30.884727478027344,0.08750487118959427,0.33605048060417175,0.14855247585997258,19.8879563863906,2.256016254425049,0.16634008288383484,0.8805258870124817
2,UNet,1001168,2,0.7920050024986267,30.587627410888672,0.09044227749109268,0.34117695689201355,0.14545620973703377,19.828346427689738,2.3741602897644043,0.1714235097169876,0.9340637922286987
2,UNet,1001168,3,0.7515708208084106,30.328433990478516,0.09207047522068024,0.3498471975326538,0.13971936508178465,20.205838148624593,2.6938555240631104,0.18398429453372955,1.0617082118988037
2,UNet,1001170,0,0.9051187038421631,34.058353424072266,0.07138540595769882,0.32969382405281067,0.16014792183867804,22.87144393378099,2.572654962539673,0.14249275624752045,0.6939313411712646
2,UNet,1001170,1,0.8914441466331482,33.836463928222656,0.07280732691287994,0.33314862847328186,0.15960070347623967,22.522510802556795,2.613694190979004,0.14619103074073792,0.8093706965446472
2,UNet,1001170,2,0.8824881315231323,33.71944046020508,0.073956698179245,0.334307461977005,0.15731940907248562,22.443107424363987,2.6493091583251953,0.14843478798866272,0.8230222463607788
2,UNet,1001170,3,0.8693147897720337,33.55184555053711,0.07545981556177139,0.33556005358695984,0.15654714141243428,22.346774445813576,2.7065975666046143,0.1542387306690216,0.8386507630348206
2,UNet,1001184,0,0.917851984500885,34.209983825683594,0.08183176815509796,0.3627861440181732,0.1691197949089806,22.642503575690995,3.143709897994995,0.17267157137393951,0.787165641784668
2,UNet,1001184,1,0.9101790189743042,33.2424201965332,0.0905470997095108,0.3672785758972168,0.16763364079828047,21.657422033478795,3.2843613624572754,0.17770464718341827,0.9316411018371582
2,UNet,1001184,2,0.9065431356430054,33.571231842041016,0.08774673938751221,0.36650189757347107,0.16658105566052556,21.852485051014398,3.2951560020446777,0.1751818060874939,0.9397193789482117
2,UNet,1001184,3,0.8983612656593323,33.278263092041016,0.09043058007955551,0.3690076470375061,0.16634170371678755,21.79173777590944,3.3594088554382324,0.17734283208847046,0.9356791377067566
2,UNet,1001275,0,0.7867070436477661,30.37505340576172,0.16066159307956696,0.39915719628334045,0.1482579234493833,17.628336414430798,5.211468696594238,0.17739693820476532,0.49121686816215515
2,UNet,1001275,1,0.7617241740226746,29.989219665527344,0.16606272757053375,0.41529199481010437,0.14295989996254843,17.103556713365254,5.565896511077881,0.18927687406539917,0.5267720222473145
2,UNet,1001275,2,0.7188339829444885,29.107635498046875,0.18467825651168823,0.4372183680534363,0.13398171952442708,16.316253810964806,6.3776774406433105,0.1975579410791397,0.5920429229736328
2,UNet,1001275,3,0.6499286890029907,28.0421142578125,0.2035536766052246,0.46969369053840637,0.11956112632096857,16.047416092433814,7.751661777496338,0.21982501447200775,0.7189790606498718
2,UNet,1001381,0,0.9149173498153687,34.661197662353516,0.07637812942266464,0.38491806387901306,0.15091528956274622,23.587203893298657,4.320812225341797,0.1680598258972168,0.7838290929794312
2,UNet,1001381,1,0.9154472947120667,34.09713363647461,0.08084224909543991,0.3862465023994446,0.15076158146755284,23.458621922785174,4.3411664962768555,0.16965287923812866,0.7857518196105957
2,UNet,1001381,2,0.9118616580963135,34.06914138793945,0.08115016669034958,0.387058824300766,0.14913231535717025,23.495342389565977,4.349076747894287,0.170498326420784,0.7959602475166321
2,UNet,1001381,3,0.9045138359069824,33.82160568237305,0.08327650278806686,0.3887634873390198,0.14720438935348207,23.465085045234837,4.443959712982178,0.17116454243659973,0.8334658741950989
2,UNet,1001651,0,0.8379091024398804,31.594369888305664,0.11563978344202042,0.3181540369987488,0.16252284384922824,22.96279893791082,3.5562846660614014,0.1590750515460968,0.66384357213974
2,UNet,1001651,1,0.8170538544654846,31.32342529296875,0.11957816034555435,0.32604721188545227,0.15883036345070276,22.760717121907604,3.7287724018096924,0.16589246690273285,0.7032390832901001
